Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,SG,C,SF,PF,PG
PG,Russell Westbrook,11600,NO@OKC 02/02/2018 09:00PM ET,57.172,OKC,0,0,0,0,1
PF/C,DeMarcus Cousins,11400,NO@OKC 02/02/2018 09:00PM ET,0.0,NO,0,1,0,1,0
PF/C,Anthony Davis,11400,NO@OKC 02/02/2018 09:00PM ET,50.466,NO,0,1,0,1,0
SF/PF,Giannis Antetokounmpo,10800,NY@MIL 02/02/2018 08:00PM ET,53.656000000000006,MIL,0,0,1,1,0
PG/SG,Stephen Curry,10600,GS@SAC 02/02/2018 10:30PM ET,48.111000000000004,GS,1,0,0,0,1
SF/PF,Kevin Durant,10400,GS@SAC 02/02/2018 10:30PM ET,47.364,GS,0,0,1,1,0
C,Joel Embiid,9600,MIA@PHI 02/02/2018 08:00PM ET,46.571999999999996,PHI,0,1,0,0,0
C,Dwight Howard,9200,IND@CHA 02/02/2018 07:00PM ET,38.22,CHA,0,1,0,0,0
PG,Kemba Walker,8800,IND@CHA 02/02/2018 07:00PM ET,38.931999999999995,CHA,0,0,0,0,1
PG,Kyrie Irving,8700,ATL@BOS 02/02/2018 07:30PM ET,40.115,BOS,0,0,0,0,1
PG/SG,Victor Oladipo,8600,IND@CHA 02/02/2018 07:00PM ET,41.707,IND,1,0,0,0,1
PG,Damian Lillard,8500,POR@TOR 02/02/2018 07:30PM ET,43.778,POR,0,0,0,0,1
PF/C,Kristaps Porzingis,8300,NY@MIL 02/02/2018 08:00PM ET,39.506,NY,0,1,0,1,0
PF/C,Draymond Green,8200,GS@SAC 02/02/2018 10:30PM ET,37.205,GS,0,1,0,1,0
PG/SF,Ben Simmons,8100,MIA@PHI 02/02/2018 08:00PM ET,41.729,PHI,0,0,1,0,1
C,Rudy Gobert,8000,UTA@PHO 02/02/2018 09:00PM ET,32.0,UTA,0,1,0,0,0
C,Hassan Whiteside,7900,MIA@PHI 02/02/2018 08:00PM ET,35.181999999999995,MIA,0,1,0,0,0
PG/SG,Donovan Mitchell,7800,UTA@PHO 02/02/2018 09:00PM ET,32.266,UTA,1,0,0,0,1
SG/SF,DeMar DeRozan,7700,POR@TOR 02/02/2018 07:30PM ET,39.577,TOR,1,0,1,0,0
PG/SG,Jrue Holiday,7700,NO@OKC 02/02/2018 09:00PM ET,35.88,NO,1,0,0,0,1
PG/SG,Devin Booker,7600,UTA@PHO 02/02/2018 09:00PM ET,39.152,PHO,1,0,0,0,1
PF/C,Al Horford,7600,ATL@BOS 02/02/2018 07:30PM ET,34.601,BOS,0,1,0,1,0
PG/SG,CJ McCollum,7500,POR@TOR 02/02/2018 07:30PM ET,35.055,POR,1,0,0,0,1
SF,Paul George,7400,NO@OKC 02/02/2018 09:00PM ET,38.26,OKC,0,0,1,0,0
SG/SF,Khris Middleton,7300,NY@MIL 02/02/2018 08:00PM ET,36.311,MIL,1,0,1,0,0
PG,Kyle Lowry,7200,POR@TOR 02/02/2018 07:30PM ET,37.196,TOR,0,0,0,0,1
PG,Goran Dragic,7000,MIA@PHI 02/02/2018 08:00PM ET,31.016,MIA,0,0,0,0,1
PF/C,Enes Kanter,6900,NY@MIL 02/02/2018 08:00PM ET,30.954,NY,0,1,0,1,0
PG,Lonzo Ball,6800,LAL@BKN 02/02/2018 07:30PM ET,34.618,LAL,0,0,0,0,1
SG/SF,Brandon Ingram,6800,LAL@BKN 02/02/2018 07:30PM ET,29.651999999999997,LAL,1,0,1,0,0
PG,Dennis Schroder,6700,ATL@BOS 02/02/2018 07:30PM ET,34.75,ATL,0,0,0,0,1
SG,Klay Thompson,6700,GS@SAC 02/02/2018 10:30PM ET,32.705,GS,1,0,0,0,0
PG/SG,Spencer Dinwiddie,6700,LAL@BKN 02/02/2018 07:30PM ET,28.826999999999998,BKN,1,0,0,0,1
PF/C,Julius Randle,6700,LAL@BKN 02/02/2018 07:30PM ET,27.555,LAL,0,1,0,1,0
SF/PF,T.J. Warren,6600,UTA@PHO 02/02/2018 09:00PM ET,31.413,PHO,0,0,1,1,0
C,Steven Adams,6600,NO@OKC 02/02/2018 09:00PM ET,30.788,OKC,0,1,0,0,0
PG/SG,Terry Rozier,6600,ATL@BOS 02/02/2018 07:30PM ET,21.191999999999997,BOS,1,0,0,0,1
PG/SG,D'Angelo Russell,6500,LAL@BKN 02/02/2018 07:30PM ET,29.291999999999998,BKN,1,0,0,0,1
C,Willie Cauley-Stein,6500,GS@SAC 02/02/2018 10:30PM ET,27.639,SAC,0,1,0,0,0
PG/SG,Jordan Clarkson,6500,LAL@BKN 02/02/2018 07:30PM ET,24.625,LAL,1,0,0,0,1
PF/C,Dario Saric,6400,MIA@PHI 02/02/2018 08:00PM ET,29.043000000000003,PHI,0,1,0,1,0
SG/SF,Nicolas Batum,6400,IND@CHA 02/02/2018 07:00PM ET,26.346999999999998,CHA,1,0,1,0,0
C,Myles Turner,6300,IND@CHA 02/02/2018 07:00PM ET,29.479,IND,0,1,0,0,0
SG/SF,Josh Richardson,6300,MIA@PHI 02/02/2018 08:00PM ET,25.695999999999998,MIA,1,0,1,0,0
SF/PF,Carmelo Anthony,6200,NO@OKC 02/02/2018 09:00PM ET,30.435,OKC,0,0,1,1,0
SF/PF,Rondae Hollis-Jefferson,6200,LAL@BKN 02/02/2018 07:30PM ET,28.516,BKN,0,0,1,1,0
PF/C,Zach Randolph,6200,GS@SAC 02/02/2018 10:30PM ET,27.86,SAC,0,1,0,1,0
PG,Ricky Rubio,6200,UTA@PHO 02/02/2018 09:00PM ET,26.811,UTA,0,0,0,0,1
PG/SG,Eric Bledsoe,6100,NY@MIL 02/02/2018 08:00PM ET,0.0,MIL,1,0,0,0,1
PF/C,Domantas Sabonis,6100,IND@CHA 02/02/2018 07:00PM ET,27.575,IND,0,1,0,1,0
SG/SF,Kent Bazemore,6000,ATL@BOS 02/02/2018 07:30PM ET,27.873,ATL,1,0,1,0,0
C,Jusuf Nurkic,5900,POR@TOR 02/02/2018 07:30PM ET,30.271,POR,0,1,0,0,0
SG/SF,Tim Hardaway Jr.,5900,NY@MIL 02/02/2018 08:00PM ET,30.217,NY,1,0,1,0,0
SG/SF,Jaylen Brown,5900,ATL@BOS 02/02/2018 07:30PM ET,26.069000000000003,BOS,1,0,1,0,0
SF/PF,Jayson Tatum,5900,ATL@BOS 02/02/2018 07:30PM ET,25.962,BOS,0,0,1,1,0
PG,De'Aaron Fox,5900,GS@SAC 02/02/2018 10:30PM ET,22.128,SAC,0,0,0,0,1
PG,Darren Collison,5800,IND@CHA 02/02/2018 07:00PM ET,27.66,IND,0,0,0,0,1
SF/PF,DeMarre Carroll,5800,LAL@BKN 02/02/2018 07:30PM ET,27.122,BKN,0,0,1,1,0
C,Jonas Valanciunas,5800,POR@TOR 02/02/2018 07:30PM ET,25.639,TOR,0,1,0,0,0
SF/PF,Thaddeus Young,5700,IND@CHA 02/02/2018 07:00PM ET,26.346,IND,0,0,1,1,0
SF/PF,Kyle Kuzma,5600,LAL@BKN 02/02/2018 07:30PM ET,28.616999999999997,LAL,0,0,1,1,0
PF/C,Derrick Favors,5600,UTA@PHO 02/02/2018 09:00PM ET,26.824,UTA,0,1,0,1,0
PF/C,Serge Ibaka,5500,POR@TOR 02/02/2018 07:30PM ET,25.784000000000002,TOR,0,1,0,1,0
PG/SG,Malcolm Brogdon,5500,NY@MIL 02/02/2018 08:00PM ET,25.022,MIL,1,0,0,0,1
SF/PF,Marcus Morris,5400,ATL@BOS 02/02/2018 07:30PM ET,22.625,BOS,0,0,1,1,0
SF/PF,Robert Covington,5300,MIA@PHI 02/02/2018 08:00PM ET,28.435,PHI,0,0,1,1,0
SF/PF,James Johnson,5300,MIA@PHI 02/02/2018 08:00PM ET,25.011999999999997,MIA,0,0,1,1,0
SG/SF,Joe Ingles,5300,UTA@PHO 02/02/2018 09:00PM ET,24.12,UTA,1,0,1,0,0
PF/C,Nikola Mirotic,5200,NO@OKC 02/02/2018 09:00PM ET,0.0,NO,0,1,0,1,0
SG/SF,JJ Redick,5200,MIA@PHI 02/02/2018 08:00PM ET,27.574,PHI,1,0,1,0,0
SG/SF,Bogdan Bogdanovic,5200,GS@SAC 02/02/2018 10:30PM ET,21.09,SAC,1,0,1,0,0
SG/SF,Josh Jackson,5200,UTA@PHO 02/02/2018 09:00PM ET,18.795,PHO,1,0,1,0,0
SG,Kentavious Caldwell-Pope,5100,LAL@BKN 02/02/2018 07:30PM ET,26.435,LAL,1,0,0,0,0
PF/C,Kelly Olynyk,5100,MIA@PHI 02/02/2018 08:00PM ET,23.485,MIA,0,1,0,1,0
SF/PF,Al-Farouq Aminu,5100,POR@TOR 02/02/2018 07:30PM ET,23.391,POR,0,0,1,1,0
SG/SF,Rodney Hood,5000,UTA@PHO 02/02/2018 09:00PM ET,25.389,UTA,1,0,1,0,0
C,Greg Monroe,5000,UTA@PHO 02/02/2018 09:00PM ET,24.11,PHO,0,1,0,0,0
SF/PF,Larry Nance Jr.,5000,LAL@BKN 02/02/2018 07:30PM ET,23.045,LAL,0,0,1,1,0
SF/PF,Michael Beasley,5000,NY@MIL 02/02/2018 08:00PM ET,22.533,NY,0,0,1,1,0
SG/SF,Courtney Lee,4900,NY@MIL 02/02/2018 08:00PM ET,24.951999999999998,NY,1,0,1,0,0
SG/SF,Marcus Smart,4900,ATL@BOS 02/02/2018 07:30PM ET,24.456999999999997,BOS,1,0,1,0,0
PG/SG,Tyler Johnson,4900,MIA@PHI 02/02/2018 08:00PM ET,22.709,MIA,1,0,0,0,1
PF/C,Ed Davis,4900,POR@TOR 02/02/2018 07:30PM ET,17.324,POR,0,1,0,1,0
SG/SF,Caris LeVert,4800,LAL@BKN 02/02/2018 07:30PM ET,25.426,BKN,1,0,1,0,0
C,John Henson,4800,NY@MIL 02/02/2018 08:00PM ET,22.729,MIL,0,1,0,0,0
SG/SF,Buddy Hield,4800,GS@SAC 02/02/2018 10:30PM ET,21.75,SAC,1,0,1,0,0
PF/C,Marquese Chriss,4800,UTA@PHO 02/02/2018 09:00PM ET,18.639,PHO,0,1,0,1,0
PF/C,Skal Labissiere,4800,GS@SAC 02/02/2018 10:30PM ET,16.601,SAC,0,1,0,1,0
C,Brook Lopez,4700,LAL@BKN 02/02/2018 07:30PM ET,22.226,LAL,0,1,0,0,0
SG/SF,Allen Crabbe,4700,LAL@BKN 02/02/2018 07:30PM ET,22.208000000000002,BKN,1,0,1,0,0
SG/SF,E'Twaun Moore,4700,NO@OKC 02/02/2018 09:00PM ET,22.05,NO,1,0,1,0,0
PF/C,Frank Kaminsky,4700,IND@CHA 02/02/2018 07:00PM ET,19.165,CHA,0,1,0,1,0
C,Kosta Koufos,4700,GS@SAC 02/02/2018 10:30PM ET,17.415,SAC,0,1,0,0,0
PG,Rajon Rondo,4600,NO@OKC 02/02/2018 09:00PM ET,23.41,NO,0,0,0,0,1
C,Tyson Chandler,4600,UTA@PHO 02/02/2018 09:00PM ET,21.434,PHO,0,1,0,0,0
SG/SF,Lance Stephenson,4600,IND@CHA 02/02/2018 07:00PM ET,21.337,IND,1,0,1,0,0
SG/SF,Bojan Bogdanovic,4600,IND@CHA 02/02/2018 07:00PM ET,20.995,IND,1,0,1,0,0
SG/SF,Wayne Ellington,4600,MIA@PHI 02/02/2018 08:00PM ET,19.123,MIA,1,0,1,0,0
PF/C,Jarrett Allen,4600,LAL@BKN 02/02/2018 07:30PM ET,15.605,BKN,0,1,0,1,0
SG/SF,Taurean Prince,4500,ATL@BOS 02/02/2018 07:30PM ET,24.544,ATL,1,0,1,0,0
C,Dewayne Dedmon,4500,ATL@BOS 02/02/2018 07:30PM ET,23.594,ATL,0,1,0,0,0
SF,Michael Kidd-Gilchrist,4500,IND@CHA 02/02/2018 07:00PM ET,20.401,CHA,0,0,1,0,0
PG/SG,George Hill,4500,GS@SAC 02/02/2018 10:30PM ET,20.067,SAC,1,0,0,0,1
PG/SG,Shabazz Napier,4500,POR@TOR 02/02/2018 07:30PM ET,18.467,POR,1,0,0,0,1
PF/C,John Collins,4400,ATL@BOS 02/02/2018 07:30PM ET,23.983,ATL,0,1,0,1,0
C,Alex Len,4400,UTA@PHO 02/02/2018 09:00PM ET,22.483,PHO,0,1,0,0,0
PF/C,Ersan Ilyasova,4400,ATL@BOS 02/02/2018 07:30PM ET,22.463,ATL,0,1,0,1,0
PG,Jarrett Jack,4400,NY@MIL 02/02/2018 08:00PM ET,21.72,NY,0,0,0,0,1
PG,T.J. McConnell,4300,MIA@PHI 02/02/2018 08:00PM ET,20.655,PHI,0,0,0,0,1
PG/SF,Garrett Temple,4300,GS@SAC 02/02/2018 10:30PM ET,17.179000000000002,SAC,0,0,1,0,1
SG/SF,Jeremy Lamb,4200,IND@CHA 02/02/2018 07:00PM ET,24.898000000000003,CHA,1,0,1,0,0
SF/PF,Marvin Williams,4200,IND@CHA 02/02/2018 07:00PM ET,19.765,CHA,0,0,1,1,0
SG/SF,Joe Harris,4200,LAL@BKN 02/02/2018 07:30PM ET,17.965,BKN,1,0,1,0,0
PG,Fred VanVleet,4200,POR@TOR 02/02/2018 07:30PM ET,16.793,TOR,0,0,0,0,1
SF/PF,Darius Miller,4200,NO@OKC 02/02/2018 09:00PM ET,13.805,NO,0,0,1,1,0
PG/SG,Alec Burks,4100,UTA@PHO 02/02/2018 09:00PM ET,16.908,UTA,1,0,0,0,1
SG,Troy Daniels,4100,UTA@PHO 02/02/2018 09:00PM ET,12.470999999999998,PHO,1,0,0,0,0
PF/C,Kyle O'Quinn,4000,NY@MIL 02/02/2018 08:00PM ET,18.94,NY,0,1,0,1,0
PG,Tyler Ulis,4000,UTA@PHO 02/02/2018 09:00PM ET,16.701,PHO,0,0,0,0,1
PF/C,Jordan Bell,4000,GS@SAC 02/02/2018 10:30PM ET,16.128,GS,0,1,0,1,0
SF/PF,Jerami Grant,4000,NO@OKC 02/02/2018 09:00PM ET,15.24,OKC,0,0,1,1,0
PF/C,Richaun Holmes,4000,MIA@PHI 02/02/2018 08:00PM ET,14.933,PHI,0,1,0,1,0
SG/SF,Timothe Luwawu-Cabarrot,4000,MIA@PHI 02/02/2018 08:00PM ET,11.085,PHI,1,0,1,0,0
PG/SG,Delon Wright,3900,POR@TOR 02/02/2018 07:30PM ET,19.189,TOR,1,0,0,0,1
SG/SF,Marco Belinelli,3900,ATL@BOS 02/02/2018 07:30PM ET,19.055,ATL,1,0,1,0,0
PG/SG,Jerryd Bayless,3900,MIA@PHI 02/02/2018 08:00PM ET,15.020999999999999,PHI,1,0,0,0,1
SF/PF,Joe Johnson,3900,UTA@PHO 02/02/2018 09:00PM ET,14.325,UTA,0,0,1,1,0
PF/C,Daniel Theis,3900,ATL@BOS 02/02/2018 07:30PM ET,13.545,BOS,0,1,0,1,0
SG/SF,Vince Carter,3900,GS@SAC 02/02/2018 10:30PM ET,12.645,SAC,1,0,1,0,0
C,Cody Zeller,3800,IND@CHA 02/02/2018 07:00PM ET,18.092,CHA,0,1,0,0,0
SG/SF,Evan Turner,3800,POR@TOR 02/02/2018 07:30PM ET,17.98,POR,1,0,1,0,0
SG/SF,Andre Iguodala,3800,GS@SAC 02/02/2018 10:30PM ET,17.872,GS,1,0,1,0,0
PF/C,Bam Adebayo,3800,MIA@PHI 02/02/2018 08:00PM ET,17.458,MIA,0,1,0,1,0
C,Zaza Pachulia,3800,GS@SAC 02/02/2018 10:30PM ET,15.384,GS,0,1,0,0,0
C,Aron Baynes,3800,ATL@BOS 02/02/2018 07:30PM ET,14.673,BOS,0,1,0,0,0
C,Ekpe Udoh,3800,UTA@PHO 02/02/2018 09:00PM ET,12.453,UTA,0,1,0,0,0
PG/SG,Josh Hart,3800,LAL@BKN 02/02/2018 07:30PM ET,12.4,LAL,1,0,0,0,1
C,Jahlil Okafor,3800,LAL@BKN 02/02/2018 07:30PM ET,11.417,BKN,0,1,0,0,0
PF/C,Zach Collins,3800,POR@TOR 02/02/2018 07:30PM ET,11.079,POR,0,1,0,1,0
PG,Cory Joseph,3700,IND@CHA 02/02/2018 07:00PM ET,18.005,IND,0,0,0,0,1
SG/SF,Justise Winslow,3700,MIA@PHI 02/02/2018 08:00PM ET,17.939,MIA,1,0,1,0,0
PG,Frank Mason III,3700,GS@SAC 02/02/2018 10:30PM ET,15.569,SAC,0,0,0,0,1
SG/SF,Tony Snell,3700,NY@MIL 02/02/2018 08:00PM ET,14.83,MIL,1,0,1,0,0
PF/C,Amir Johnson,3700,MIA@PHI 02/02/2018 08:00PM ET,14.706,PHI,0,1,0,1,0
PF/C,Quincy Acy,3700,LAL@BKN 02/02/2018 07:30PM ET,13.527000000000001,BKN,0,1,0,1,0
PG/SG,Matthew Dellavedova,3700,NY@MIL 02/02/2018 08:00PM ET,13.007,MIL,1,0,0,0,1
SF/PF,Dante Cunningham,3700,NO@OKC 02/02/2018 09:00PM ET,12.321,NO,0,0,1,1,0
C,Miles Plumlee,3700,ATL@BOS 02/02/2018 07:30PM ET,12.148,ATL,0,1,0,0,0
PF/C,Jakob Poeltl,3600,POR@TOR 02/02/2018 07:30PM ET,16.070999999999998,TOR,0,1,0,1,0
PG/SG,Malcolm Delaney,3600,ATL@BOS 02/02/2018 07:30PM ET,13.878,ATL,1,0,0,0,1
PG/SG,Ian Clark,3600,NO@OKC 02/02/2018 09:00PM ET,10.335,NO,1,0,0,0,1
PF,Pascal Siakam,3500,POR@TOR 02/02/2018 07:30PM ET,17.052,TOR,0,0,0,1,0
PF/C,David West,3500,GS@SAC 02/02/2018 10:30PM ET,16.765,GS,0,1,0,1,0
SG/SF,C.J. Miles,3500,POR@TOR 02/02/2018 07:30PM ET,16.25,TOR,1,0,1,0,0
PF/C,Al Jefferson,3500,IND@CHA 02/02/2018 07:00PM ET,14.967,IND,0,1,0,1,0
PG/SG,Frank Ntilikina,3500,NY@MIL 02/02/2018 08:00PM ET,14.934000000000001,NY,1,0,0,0,1
PG/SG,Markelle Fultz,3500,MIA@PHI 02/02/2018 08:00PM ET,12.187999999999999,PHI,1,0,0,0,1
PF,Jared Dudley,3500,UTA@PHO 02/02/2018 09:00PM ET,10.663,PHO,0,0,0,1,0
SG/SF,Justin Jackson,3500,GS@SAC 02/02/2018 10:30PM ET,10.014,SAC,1,0,1,0,0
PG/SG,Raymond Felton,3400,NO@OKC 02/02/2018 09:00PM ET,14.75,OKC,1,0,0,0,1
PF/C,Mike Muscala,3400,ATL@BOS 02/02/2018 07:30PM ET,13.909,ATL,0,1,0,1,0
PG/SG,Trey Burke,3400,NY@MIL 02/02/2018 08:00PM ET,13.905999999999999,NY,1,0,0,0,1
PF/C,Dragan Bender,3400,UTA@PHO 02/02/2018 09:00PM ET,13.284,PHO,0,1,0,1,0
PG,Michael Carter-Williams,3400,IND@CHA 02/02/2018 07:00PM ET,12.599,CHA,0,0,0,0,1
SG/SF,Pat Connaughton,3400,POR@TOR 02/02/2018 07:30PM ET,12.588,POR,1,0,1,0,0
SG/SF,Justin Anderson,3400,MIA@PHI 02/02/2018 08:00PM ET,11.513,PHI,1,0,1,0,0
SG/SF,Treveon Graham,3400,IND@CHA 02/02/2018 07:00PM ET,9.993,CHA,1,0,1,0,0
PF/C,Trevor Booker,3300,MIA@PHI 02/02/2018 08:00PM ET,17.012,PHI,0,1,0,1,0
SF/PF,Omri Casspi,3300,GS@SAC 02/02/2018 10:30PM ET,14.609000000000002,GS,0,0,1,1,0
SG/SF,Norman Powell,3300,POR@TOR 02/02/2018 07:30PM ET,13.363,TOR,1,0,1,0,0
SF/PF,Jonas Jerebko,3300,UTA@PHO 02/02/2018 09:00PM ET,13.065,UTA,0,0,1,1,0
SF/PF,OG Anunoby,3300,POR@TOR 02/02/2018 07:30PM ET,12.673,TOR,0,0,1,1,0
PG/SG,Shaun Livingston,3300,GS@SAC 02/02/2018 10:30PM ET,11.466,GS,1,0,0,0,1
PF/C,Thon Maker,3200,NY@MIL 02/02/2018 08:00PM ET,12.642999999999999,MIL,0,1,0,1,0
PF/C,Jordan Mickey,3200,MIA@PHI 02/02/2018 08:00PM ET,11.905999999999999,MIA,0,1,0,1,0
SF/PF,Doug McDermott,3100,NY@MIL 02/02/2018 08:00PM ET,12.610999999999999,NY,0,0,1,1,0
SF/PF,Maurice Harkless,3100,POR@TOR 02/02/2018 07:30PM ET,12.130999999999998,POR,0,0,1,1,0
